Date,Open,High,Low,Close,Volume,Volume(NRK),Market Cap
August 07 2023,$0.0925,$0.0936,$0.0892,$0.0907,$1.6 m,17175582,$0
August 06 2023,$0.0925,$0.0940,$0.0866,$0.0924,$1.3 m,13850033,$0
August 05 2023,$0.0905,$0.0949,$0.0842,$0.0925,$1.4 m,15213537,$0
August 04 2023,$0.0871,$0.0932,$0.0863,$0.0906,$1.0 m,11512163,$0
August 03 2023,$0.0865,$0.0899,$0.0838,$0.0872,$1.2 m,13853181,$0
August 02 2023,$0.0859,$0.0878,$0.0854,$0.0865,$927.5 K,10747868,$0
August 01 2023,$0.0867,$0.0871,$0.0841,$0.0859,$799.1 K,9289140,$0
July 31 2023,$0.0865,$0.0880,$0.0850,$0.0865,$882.4 K,10217565,$0
July 30 2023,$0.0861,$0.0872,$0.0852,$0.0864,$1.0 m,11620410,$0
July 29 2023,$0.0860,$0.0866,$0.0850,$0.0861,$1.3 m,15452928,$0
July 28 2023,$0.0877,$0.0889,$0.0716,$0.0860,$768.3 K,8961163,$0
July 27 2023,$0.0852,$0.1000,$0.0851,$0.0877,$806.9 K,9000192,$0
July 26 2023,$0.0804,$0.0882,$0.0781,$0.0852,$1.2 m,14572748,$0
July 25 2023,$0.0800,$0.0805,$0.0736,$0.0804,$1.2 m,15515230,$0
July 24 2023,$0.0768,$0.0850,$0.0740,$0.0800,$1.1 m,13634055,$0
July 23 2023,$0.0751,$0.0834,$0.0746,$0.0767,$1.2 m,15947152,$0
July 22 2023,$0.0753,$0.0769,$0.0707,$0.0751,$1.2 m,16465082,$0
July 21 2023,$0.0757,$0.0780,$0.0749,$0.0753,$1.1 m,14788296,$0
July 20 2023,$0.0815,$0.0821,$0.0740,$0.0758,$952.3 K,11925035,$0
July 19 2023,$0.0794,$0.0821,$0.0787,$0.0814,$981.2 K,12167940,$0
July 18 2023,$0.0819,$0.0831,$0.0791,$0.0791,$1.2 m,15244252,$0
July 17 2023,$0.0843,$0.0849,$0.0811,$0.0820,$1.4 m,17281154,$0
July 16 2023,$0.0839,$0.0849,$0.0827,$0.0842,$1.1 m,13581706,$0
July 15 2023,$0.0849,$0.0849,$0.0825,$0.0839,$1.4 m,16415077,$0
July 14 2023,$0.0840,$0.0862,$0.0820,$0.0849,$1.1 m,13396554,$0
July 13 2023,$0.0855,$0.0877,$0.0830,$0.0840,$1.1 m,13102409,$0
July 12 2023,$0.0847,$0.0880,$0.0840,$0.0855,$1.4 m,16251299,$0
July 11 2023,$0.0858,$0.0869,$0.0842,$0.0847,$1.5 m,17293015,$0
July 10 2023,$0.0849,$0.0863,$0.0820,$0.0858,$1.6 m,19226128,$0
July 09 2023,$0.0859,$0.0864,$0.0829,$0.0849,$1.5 m,17159667,$0
July 08 2023,$0.0870,$0.0876,$0.0843,$0.0861,$1.8 m,21008640,$0
July 07 2023,$0.0878,$0.0879,$0.0845,$0.0871,$1.0 m,11748683,$0
July 06 2023,$0.0872,$0.0884,$0.0826,$0.0878,$1.6 m,18020778,$0
July 05 2023,$0.0863,$0.0890,$0.0858,$0.0873,$1.7 m,19322633,$0
July 04 2023,$0.0891,$0.0903,$0.0863,$0.0865,$1.5 m,16932105,$0
July 03 2023,$0.0887,$0.0915,$0.0873,$0.0894,$1.4 m,15882748,$0
July 02 2023,$0.0902,$0.0907,$0.0882,$0.0887,$1.6 m,17895683,$0
July 01 2023,$0.0905,$0.0910,$0.0879,$0.0902,$1.4 m,15279059,$0
June 30 2023,$0.0906,$0.0920,$0.0855,$0.0906,$1.4 m,15431406,$0
June 29 2023,$0.0899,$0.0943,$0.0890,$0.0907,$1.6 m,17359353,$0
June 28 2023,$0.0929,$0.0934,$0.0886,$0.0902,$1.7 m,18784592,$0
June 27 2023,$0.0899,$0.0950,$0.0884,$0.0930,$1.5 m,16337259,$0
June 26 2023,$0.0918,$0.0942,$0.0883,$0.0893,$1.6 m,17689537,$0
June 25 2023,$0.0931,$0.0951,$0.0910,$0.0921,$1.6 m,17261898,$0
June 24 2023,$0.0948,$0.0960,$0.0907,$0.0930,$1.6 m,17249867,$0
June 23 2023,$0.1098,$0.1180,$0.0940,$0.0948,$1.5 m,14405458,$0
June 22 2023,$0.0834,$0.1097,$0.0810,$0.1093,$1.9 m,22142535,$0
June 21 2023,$0.0897,$0.0901,$0.0807,$0.0830,$1.0 m,11802029,$0
June 20 2023,$0.0895,$0.0918,$0.0876,$0.0898,$1.4 m,15309419,$0
